,TotalPop,Men,Women,Income,Poverty,Drive,Carpool,Walk,OtherTransp,WorkAtHome,Employed,Unemployment,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Borough,County_x,Hispanic,Black,Asian,White,Office,Construction,Production,Professional,Service,CensusTract,Latitude,Longitude,0
1449,2276,989,1287,14821.0,53.3,13.2,1.5,11.5,2.2,6.5,627,20.7,85.3,6.9,7.8,0.0,Bronx,Bronx,76.5,19.0,3.5,0.4,38.3,3.2,4.5,15.3,38.8,36005036901,40.8440703518,-73.8937688442,7.059345231008753
1450,2276,989,1287,14821.0,53.3,13.2,1.5,11.5,2.2,6.5,627,20.7,85.3,6.9,7.8,0.0,Bronx,Bronx,76.5,19.0,3.5,0.4,38.3,3.2,4.5,15.3,38.8,36005036901,40.8440703518,-73.8906030151,7.059345231008753
5580,2139,920,1219,26745.0,25.9,20.3,2.2,5.6,1.2,0.6,880,8.8,81.4,16.0,2.6,0.0,Brooklyn,Kings,32.0,65.7,1.0,0.0,28.4,1.6,9.9,28.3,31.8,36047116000,40.667688442199996,-73.8874371859,7.0183761207376945
5581,2139,920,1219,26745.0,25.9,20.3,2.2,5.6,1.2,0.6,880,8.8,81.4,16.0,2.6,0.0,Brooklyn,Kings,32.0,65.7,1.0,0.0,28.4,1.6,9.9,28.3,31.8,36047116000,40.6699497487,-73.8874371859,7.0183761207376945
7198,4670,2390,2280,54718.0,32.6,11.8,1.0,6.9,1.0,9.4,2382,10.4,75.9,14.2,9.0,0.9,Manhattan,New York,62.0,3.0,1.3,31.1,16.2,0.8,2.2,46.6,34.2,36061030300,40.8689447236,-73.91909547739999,7.003907536599209
7199,4670,2390,2280,54718.0,32.6,11.8,1.0,6.9,1.0,9.4,2382,10.4,75.9,14.2,9.0,0.9,Manhattan,New York,62.0,3.0,1.3,31.1,16.2,0.8,2.2,46.6,34.2,36061030300,40.8689447236,-73.91592964819999,7.003907536599209
7200,4670,2390,2280,54718.0,32.6,11.8,1.0,6.9,1.0,9.4,2382,10.4,75.9,14.2,9.0,0.9,Manhattan,New York,62.0,3.0,1.3,31.1,16.2,0.8,2.2,46.6,34.2,36061030300,40.8712060302,-73.91909547739999,7.003907536599209
7287,3884,2071,1813,61900.0,12.4,30.8,4.3,6.2,0.3,2.3,1780,9.6,85.9,11.4,2.7,0.0,Queens,Queens,60.2,6.1,16.1,13.3,21.9,11.8,12.8,20.1,33.5,36081001000,40.6903015075,-73.85894472359999,7.030069834359163
7288,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.6925628141,-73.8621105528,7.024384812422326
7289,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.6925628141,-73.85894472359999,7.024384812422326
7290,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.694824120599996,-73.8621105528,7.024384812422326
7291,4998,2555,2443,63862.0,12.1,33.6,11.7,2.2,2.0,0.0,2460,7.0,81.9,10.2,7.9,0.0,Queens,Queens,58.7,2.3,17.0,19.5,23.0,6.1,9.5,35.4,26.0,36081001200,40.694824120599996,-73.85894472359999,7.024384812422326
7295,3244,1501,1743,61786.0,22.1,28.0,4.5,9.8,0.0,0.6,1551,8.8,84.3,14.2,1.5,0.0,Queens,Queens,70.6,2.5,11.9,9.1,27.8,4.4,14.6,25.3,27.9,36081001600,40.6903015075,-73.85577889449999,7.022756931028429
7296,3244,1501,1743,61786.0,22.1,28.0,4.5,9.8,0.0,0.6,1551,8.8,84.3,14.2,1.5,0.0,Queens,Queens,70.6,2.5,11.9,9.1,27.8,4.4,14.6,25.3,27.9,36081001600,40.6925628141,-73.85577889449999,7.022756931028429
7297,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.688040201,-73.85261306529999,7.01903134793847
7298,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.688040201,-73.84944723619998,7.01903134793847
7299,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.6903015075,-73.85261306529999,7.01903134793847
7300,3443,1742,1701,62895.0,19.1,27.6,2.3,3.4,2.1,1.1,1493,9.8,83.6,11.8,4.6,0.0,Queens,Queens,58.2,6.8,18.7,12.2,25.9,4.4,14.1,23.2,32.4,36081001800,40.6925628141,-73.85261306529999,7.01903134793847
7317,2178,1069,1109,58333.0,13.4,25.0,8.1,4.7,0.9,1.4,1014,11.9,80.0,14.4,5.1,0.5,Queens,Queens,60.0,5.6,14.2,17.9,26.1,8.2,8.9,21.8,35.0,36081002200,40.694824120599996,-73.84944723619998,7.057643690830694
7318,2178,1069,1109,58333.0,13.4,25.0,8.1,4.7,0.9,1.4,1014,11.9,80.0,14.4,5.1,0.5,Queens,Queens,60.0,5.6,14.2,17.9,26.1,8.2,8.9,21.8,35.0,36081002200,40.6970854271,-73.85261306529999,7.057643690830694
7319,2178,1069,1109,58333.0,13.4,25.0,8.1,4.7,0.9,1.4,1014,11.9,80.0,14.4,5.1,0.5,Queens,Queens,60.0,5.6,14.2,17.9,26.1,8.2,8.9,21.8,35.0,36081002200,40.6970854271,-73.84944723619998,7.057643690830694
